At. num,Sp. Name,Element,Valence,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Config.,Ground Level,Ionized Level,Ionization Energy (b) (eV),Uncertainty (c) (eV),Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
1,H I,H,I,0.0,Hydrogen,H,1s,1s,2S<1/2>,,13.5984346,1.2e-11,,,,,,,,,,,
2,He I,He,I,0.0,Helium,He,1s2,1s2,1S0,1s 2S<1/2>,24.58738901,2.5e-08,,,,,,,,,,,
2,He II,He,II,1.0,Helium,H,1s,1s,2S<1/2>,,54.41776553,1e-09,,,,,,,,,,,
10,Ne I,Ne,I,0.0,Neon,Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,21.564541,7e-06,,,,,,,,,,,
10,Ne II,Ne,II,1.0,Neon,F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,40.96297,4e-05,,,,,,,,,,,
10,Ne III,Ne,III,2.0,Neon,O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,63.4233,0.0003,,,,,,,,,,,
10,Ne IV,Ne,IV,3.0,Neon,N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2s2.2p2 3P<0>,97.19,0.0025,,,,,,,,,,,
10,Ne V,Ne,V,4.0,Neon,C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,126.247,0.012,,,,,,,,,,,
10,Ne VI,Ne,VI,5.0,Neon,B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,157.934,0.005,,,,,,,,,,,
10,Ne VII,Ne,VII,6.0,Neon,Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,207.271,0.012,,,,,,,,,,,
10,Ne VIII,Ne,VIII,7.0,Neon,Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,239.097,0.0019,,,,,,,,,,,
10,Ne IX,Ne,IX,8.0,Neon,He,1s2,1s2,1S0,1s 2S<1/2>,1195.8082,0.0004,,,,,,,,,,,
10,Ne X,Ne,X,9.0,Neon,H,1s,1s,2S<1/2>,,1362.199256,4e-06,,,,,,,,,,,
24,Cr I,Cr,I,0.0,Chromium,Cr,[Ar].3d5.4s,3d5.(6S).4s,7S<3>,3d5 6S<5/2>,6.76651,4e-05,,,,,,,,,,,
24,Cr II,Cr,II,1.0,Chromium,V,[Ar].3d5,3d5,6S<5/2>,3d4 5D<0>,16.486305,1.5e-05,,,,,,,,,,,
24,Cr III,Cr,III,2.0,Chromium,Ti,[Ar].3d4,3d4,5D0,3d3 4F<3/2>,30.959,0.025,,,,,,,,,,,
24,Cr IV,Cr,IV,3.0,Chromium,Sc,[Ar].3d3,3d3,4F<3/2>,3d2 3F<2>,49.16,0.05,,,,,,,,,,,
24,Cr V,Cr,V,4.0,Chromium,Ca,[Ar].3d2,3p6.3d2,3F<2>,3d 2D<3/2>,69.46,0.04,,,,,,,,,,,
24,Cr VI,Cr,VI,5.0,Chromium,K,[Ar].3d,3p6.3d,2D<3/2>,3p6 1S<0>,90.6349,0.0007,,,,,,,,,,,
24,Cr VII,Cr,VII,6.0,Chromium,Ar,[Ne].3s2.3p6,3s2.3p6,1S0,3p5 2P*<3/2>,160.29,0.06,,,,,,,,,,,
24,Cr VIII,Cr,VIII,7.0,Chromium,Cl,[Ne].3s2.3p5,3s2.3p5,2P*<3/2>,3p4 3P<2>,184.76,0.15,,,,,,,,,,,
24,Cr IX,Cr,IX,8.0,Chromium,S,[Ne].3s2.3p4,3s2.3p4,3P<2>,3p3 4S*<3/2>,209.5,0.3,,,,,,,,,,,
24,Cr X,Cr,X,9.0,Chromium,P,[Ne].3s2.3p3,3s2.3p3,4S*<3/2>,3p2 3P<0>,244.5,0.5,,,,,,,,,,,
24,Cr XI,Cr,XI,10.0,Chromium,Si,[Ne].3s2.3p2,3s2.3p2,3P0,3p 2P*<1/2>,270.8,0.5,,,,,,,,,,,
24,Cr XII,Cr,XII,11.0,Chromium,Al,[Ne].3s2.3p,3s2.3p,2P*<1/2>,3s2 1S<0>,296.7,0.6,,,,,,,,,,,
24,Cr XIII,Cr,XIII,12.0,Chromium,Mg,[Ne].3s2,2p6.3s2,1S0,3s 2S<1/2>,354.7,0.3,,,,,,,,,,,
24,Cr XIV,Cr,XIV,13.0,Chromium,Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,384.163,0.006,,,,,,,,,,,
24,Cr XV,Cr,XV,14.0,Chromium,Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,1011.6,0.5,,,,,,,,,,,
24,Cr XVI,Cr,XVI,15.0,Chromium,F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,1097.2,1.4,,,,,,,,,,,
24,Cr XVII,Cr,XVII,16.0,Chromium,O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,1188.0,2.1,,,,,,,,,,,
24,Cr XVIII,Cr,XVIII,17.0,Chromium,N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,1294.8,1.6,,,,,,,,,,,
24,Cr XIX,Cr,XIX,18.0,Chromium,C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,1394.5,0.7,,,,,,,,,,,
24,Cr XX,Cr,XX,19.0,Chromium,B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,1495.1,0.7,,,,,,,,,,,
